Name,US State/District,Party Affiliation,Ballot 1,Ballot 2,Ballot 3,Ballot 4,Ballot 5,Ballot 6,Ballot 7,Ballot 8,Ballot 9,Ballot 10,Ballot 11
"Cherfilus-McCormick, Sheila",Florida 20th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Chu, Judy",California 28th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cicilline, David",Rhode Island 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Ciscomani, Juan",Arizona 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Clark, Katherine",Massachusetts 5th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Clarke, Yvette",New York 9th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cleaver, Emanuel",Missouri 5th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cline, Ben",Virginia 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Cloud, Michael",Texas 27th,Republican Party,Jim Jordan,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds
"Clyburn, James",South Carolina 6th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Clyde, Andrew",Georgia 9th,Republican Party,Andy Biggs,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds
"Cohen, Steve",Tennessee 9th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cole, Tom",Oklahoma 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Collins, Mike",Georgia 10th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Comer, James",Kentucky 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Connolly, Gerald",Virginia 11th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Correa, J.",California 46th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Costa, Jim",California 21st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Courtney, Joe",Connecticut 2nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Craig, Angie",Minnesota 2nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Crane, Elijah",Arizona 2nd,Republican Party,Andy Biggs,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Kevin Hern,Kevin Hern
"Crawford, Eric",Arkansas 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Crenshaw, Dan",Texas 2nd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Crockett, Jasmine",Texas 30th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Crow, Jason",Colorado 6th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cuellar, Henry",Texas 28th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Curtis, John",Utah 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"D'Esposito, Anthony",New York 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Davids, Sharice",Kansas 3rd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Davidson, Warren",Ohio 8th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Davis, Danny",Illinois 7th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Davis, Donald",North Carolina 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Dean, Madeleine",Pennsylvania 4th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
